data_type	cell_type_id	mark_id	cell_type	mark/assay	accession	filename
training_data	C31	M03	NCI-H929	H2AFZ	ENCSR559IFS	C31M03.bigwig
training_data	C34	M03	OCI-LY7	H2AFZ	ENCSR331RGM	C34M03.bigwig
training_data	C46	M03	trophoblast_cell	H2AFZ	ENCSR485OSV	C46M03.bigwig
training_data	C23	M04	IMR-90	H2AK5ac	ENCSR424ZJH	C23M04.bigwig
training_data	C27	M04	mesenchymal_stem_cell	H2AK5ac	ENCSR753RYH	C27M04.bigwig
training_data	C32	M04	neural_stem_progenitor_cell	H2AK5ac	ENCSR732NFR	C32M04.bigwig
training_data	C46	M04	trophoblast_cell	H2AK5ac	ENCSR427RFW	C46M04.bigwig
training_data	C23	M05	IMR-90	H2AK9ac	ENCSR038MKB	C23M05.bigwig
training_data	C17	M06	H1-hESC	H2BK120ac	ENCSR848DUN	C17M06.bigwig
training_data	C23	M06	IMR-90	H2BK120ac	ENCSR210RXE	C23M06.bigwig
training_data	C27	M06	mesenchymal_stem_cell	H2BK120ac	ENCSR502IWF	C27M06.bigwig
training_data	C32	M06	neural_stem_progenitor_cell	H2BK120ac	ENCSR811NNT	C32M06.bigwig
training_data	C46	M06	trophoblast_cell	H2BK120ac	ENCSR355ZYK	C46M06.bigwig
training_data	C17	M07	H1-hESC	H2BK12ac	ENCSR364BKW	C17M07.bigwig
training_data	C27	M07	mesenchymal_stem_cell	H2BK12ac	ENCSR895YWA	C27M07.bigwig
training_data	C32	M07	neural_stem_progenitor_cell	H2BK12ac	ENCSR940RIU	C32M07.bigwig
training_data	C46	M07	trophoblast_cell	H2BK12ac	ENCSR634IIF	C46M07.bigwig
training_data	C17	M08	H1-hESC	H2BK15ac	ENCSR739BZR	C17M08.bigwig
training_data	C23	M08	IMR-90	H2BK15ac	ENCSR274TJB	C23M08.bigwig
training_data	C27	M08	mesenchymal_stem_cell	H2BK15ac	ENCSR491CCY	C27M08.bigwig
training_data	C17	M09	H1-hESC	H2BK20ac	ENCSR462XRE	C17M09.bigwig
training_data	C23	M09	IMR-90	H2BK20ac	ENCSR054IRX	C23M09.bigwig
training_data	C17	M10	H1-hESC	H2BK5ac	ENCSR161NON	C17M10.bigwig
training_data	C23	M10	IMR-90	H2BK5ac	ENCSR248KRU	C23M10.bigwig
training_data	C27	M10	mesenchymal_stem_cell	H2BK5ac	ENCSR809CVZ	C27M10.bigwig
training_data	C32	M10	neural_stem_progenitor_cell	H2BK5ac	ENCSR651SVZ	C32M10.bigwig
training_data	C31	M11	NCI-H929	H3F3A	ENCSR536SZD	C31M11.bigwig
training_data	C18	M12	H9	H3K14ac	ENCSR440BZV	C18M12.bigwig
training_data	C23	M12	IMR-90	H3K14ac	ENCSR283STF	C23M12.bigwig
training_data	C27	M12	mesenchymal_stem_cell	H3K14ac	ENCSR719QMW	C27M12.bigwig
training_data	C46	M12	trophoblast_cell	H3K14ac	ENCSR499CAZ	C46M12.bigwig
training_data	C17	M13	H1-hESC	H3K18ac	ENCSR038PFD	C17M13.bigwig
training_data	C18	M13	H9	H3K18ac	ENCSR294WUR	C18M13.bigwig
training_data	C23	M13	IMR-90	H3K18ac	ENCSR383CBN	C23M13.bigwig
training_data	C32	M13	neural_stem_progenitor_cell	H3K18ac	ENCSR182XTG	C32M13.bigwig
training_data	C46	M13	trophoblast_cell	H3K18ac	ENCSR081JRM	C46M13.bigwig
training_data	C23	M14	IMR-90	H3K23ac	ENCSR942NME	C23M14.bigwig
training_data	C27	M14	mesenchymal_stem_cell	H3K23ac	ENCSR734MEM	C27M14.bigwig
training_data	C32	M14	neural_stem_progenitor_cell	H3K23ac	ENCSR361LIU	C32M14.bigwig
training_data	C17	M15	H1-hESC	H3K23me2	ENCSR326NQF	C17M15.bigwig
training_data	C18	M15	H9	H3K23me2	ENCSR063WYJ	C18M15.bigwig
training_data	C01	M16	adipose_tissue	H3K27ac	ENCSR082SHT	C01M16.bigwig
training_data	C02	M16	adrenal_gland	H3K27ac	ENCSR177QFY	C02M16.bigwig
training_data	C03	M16	adrenal_gland_embryonic	H3K27ac	ENCSR847AIA	C03M16.bigwig
training_data	C09	M16	CD4-positive_alpha-beta_memory_T_cell	H3K27ac	ENCSR724GUS	C09M16.bigwig
training_data	C10	M16	chorion	H3K27ac	ENCSR499IIR	C10M16.bigwig
training_data	C13	M16	endocrine_pancreas	H3K27ac	ENCSR324JDC	C13M16.bigwig
training_data	C17	M16	H1-hESC	H3K27ac	ENCSR880SUY	C17M16.bigwig
training_data	C18	M16	H9	H3K27ac	ENCSR876RGF	C18M16.bigwig
training_data	C20	M16	heart_left_ventricle	H3K27ac	ENCSR854OXF	C20M16.bigwig
training_data	C23	M16	IMR-90	H3K27ac	ENCSR002YRE	C23M16.bigwig
training_data	C24	M16	K562	H3K27ac	ENCSR000AKP	C24M16.bigwig
training_data	C25	M16	KMS-11	H3K27ac	ENCSR955IXZ	C25M16.bigwig
training_data	C27	M16	mesenchymal_stem_cell	H3K27ac	ENCSR013KEC	C27M16.bigwig
training_data	C32	M16	neural_stem_progenitor_cell	H3K27ac	ENCSR799SRL	C32M16.bigwig
training_data	C34	M16	OCI-LY7	H3K27ac	ENCSR447ZGY	C34M16.bigwig
training_data	C36	M16	peripheral_blood_mononuclear_cell	H3K27ac	ENCSR615HXA	C36M16.bigwig
training_data	C37	M16	prostate	H3K27ac	ENCSR763IDK	C37M16.bigwig
training_data	C38	M16	RWPE2	H3K27ac	ENCSR987PNT	C38M16.bigwig
training_data	C46	M16	trophoblast_cell	H3K27ac	ENCSR425PQI	C46M16.bigwig
training_data	C47	M16	upper_lobe_of_left_lung	H3K27ac	ENCSR738SXD	C47M16.bigwig
training_data	C49	M16	uterus	H3K27ac	ENCSR249INE	C49M16.bigwig
training_data	C50	M16	vagina	H3K27ac	ENCSR718BTD	C50M16.bigwig
training_data	C03	M17	adrenal_gland_embryonic	H3K27me3	ENCSR218BPG	C03M17.bigwig
training_data	C04	M17	amnion	H3K27me3	ENCSR144NDE	C04M17.bigwig
training_data	C07	M17	Caco-2	H3K27me3	ENCSR000DQL	C07M17.bigwig
training_data	C09	M17	CD4-positive_alpha-beta_memory_T_cell	H3K27me3	ENCSR702RZM	C09M17.bigwig
training_data	C12	M17	DND-41	H3K27me3	ENCSR000ASX	C12M17.bigwig
training_data	C13	M17	endocrine_pancreas	H3K27me3	ENCSR581UGC	C13M17.bigwig
training_data	C17	M17	H1-hESC	H3K27me3	ENCSR928HYM	C17M17.bigwig
training_data	C18	M17	H9	H3K27me3	ENCSR792GCH	C18M17.bigwig
training_data	C20	M17	heart_left_ventricle	H3K27me3	ENCSR988JLN	C20M17.bigwig
training_data	C23	M17	IMR-90	H3K27me3	ENCSR431UUY	C23M17.bigwig
training_data	C25	M17	KMS-11	H3K27me3	ENCSR474VGQ	C25M17.bigwig
training_data	C27	M17	mesenchymal_stem_cell	H3K27me3	ENCSR832JVP	C27M17.bigwig
training_data	C29	M17	myoepithelial_cell_of_mammary_gland	H3K27me3	ENCSR517CFV	C29M17.bigwig
training_data	C32	M17	neural_stem_progenitor_cell	H3K27me3	ENCSR694LBI	C32M17.bigwig
training_data	C36	M17	peripheral_blood_mononuclear_cell	H3K27me3	ENCSR866UQO	C36M17.bigwig
training_data	C46	M17	trophoblast_cell	H3K27me3	ENCSR960CWQ	C46M17.bigwig
training_data	C02	M18	adrenal_gland	H3K36me3	ENCSR857XRG	C02M18.bigwig
training_data	C03	M18	adrenal_gland_embryonic	H3K36me3	ENCSR760LFY	C03M18.bigwig
training_data	C04	M18	amnion	H3K36me3	ENCSR786DQB	C04M18.bigwig
training_data	C07	M18	Caco-2	H3K36me3	ENCSR000DQK	C07M18.bigwig
training_data	C09	M18	CD4-positive_alpha-beta_memory_T_cell	H3K36me3	ENCSR580WRV	C09M18.bigwig
training_data	C10	M18	chorion	H3K36me3	ENCSR449FFA	C10M18.bigwig
training_data	C12	M18	DND-41	H3K36me3	ENCSR000AQX	C12M18.bigwig
training_data	C13	M18	endocrine_pancreas	H3K36me3	ENCSR372OTD	C13M18.bigwig
training_data	C14	M18	ES-I3	H3K36me3	ENCSR844DRI	C14M18.bigwig
training_data	C16	M18	GM06990	H3K36me3	ENCSR000DQT	C16M18.bigwig
training_data	C17	M18	H1-hESC	H3K36me3	ENCSR925LJZ	C17M18.bigwig
training_data	C18	M18	H9	H3K36me3	ENCSR324UNL	C18M18.bigwig
training_data	C20	M18	heart_left_ventricle	H3K36me3	ENCSR500ZGF	C20M18.bigwig
training_data	C23	M18	IMR-90	H3K36me3	ENCSR437ORF	C23M18.bigwig
training_data	C24	M18	K562	H3K36me3	ENCSR000DWB	C24M18.bigwig
training_data	C25	M18	KMS-11	H3K36me3	ENCSR835YBD	C25M18.bigwig
training_data	C27	M18	mesenchymal_stem_cell	H3K36me3	ENCSR824UNY	C27M18.bigwig
training_data	C29	M18	myoepithelial_cell_of_mammary_gland	H3K36me3	ENCSR160CPS	C29M18.bigwig
training_data	C31	M18	NCI-H929	H3K36me3	ENCSR562JTY	C31M18.bigwig
training_data	C32	M18	neural_stem_progenitor_cell	H3K36me3	ENCSR256ESY	C32M18.bigwig
training_data	C34	M18	OCI-LY7	H3K36me3	ENCSR243AIS	C34M18.bigwig
training_data	C48	M18	urinary_bladder	H3K36me3	ENCSR449TNC	C48M18.bigwig
training_data	C18	M19	H9	H3K4ac	ENCSR230WNU	C18M19.bigwig
training_data	C23	M19	IMR-90	H3K4ac	ENCSR039ZLS	C23M19.bigwig
training_data	C27	M19	mesenchymal_stem_cell	H3K4ac	ENCSR902EEI	C27M19.bigwig
training_data	C32	M19	neural_stem_progenitor_cell	H3K4ac	ENCSR476FBL	C32M19.bigwig
training_data	C46	M19	trophoblast_cell	H3K4ac	ENCSR354UVU	C46M19.bigwig
training_data	C02	M20	adrenal_gland	H3K4me1	ENCSR406PCK	C02M20.bigwig
training_data	C03	M20	adrenal_gland_embryonic	H3K4me1	ENCSR207ZIA	C03M20.bigwig
training_data	C04	M20	amnion	H3K4me1	ENCSR249AWJ	C04M20.bigwig
training_data	C10	M20	chorion	H3K4me1	ENCSR244MNY	C10M20.bigwig
training_data	C12	M20	DND-41	H3K4me1	ENCSR000AQY	C12M20.bigwig
training_data	C14	M20	ES-I3	H3K4me1	ENCSR730FLZ	C14M20.bigwig
training_data	C17	M20	H1-hESC	H3K4me1	ENCSR000ANA	C17M20.bigwig
training_data	C18	M20	H9	H3K4me1	ENCSR276HBK	C18M20.bigwig
training_data	C20	M20	heart_left_ventricle	H3K4me1	ENCSR438QZN	C20M20.bigwig
training_data	C23	M20	IMR-90	H3K4me1	ENCSR831JSP	C23M20.bigwig
training_data	C24	M20	K562	H3K4me1	ENCSR000EWC	C24M20.bigwig
training_data	C25	M20	KMS-11	H3K4me1	ENCSR976JHS	C25M20.bigwig
training_data	C27	M20	mesenchymal_stem_cell	H3K4me1	ENCSR065HOR	C27M20.bigwig
training_data	C29	M20	myoepithelial_cell_of_mammary_gland	H3K4me1	ENCSR813ULW	C29M20.bigwig
training_data	C31	M20	NCI-H929	H3K4me1	ENCSR011CSR	C31M20.bigwig
training_data	C34	M20	OCI-LY7	H3K4me1	ENCSR060WGK	C34M20.bigwig
training_data	C36	M20	peripheral_blood_mononuclear_cell	H3K4me1	ENCSR482QXO	C36M20.bigwig
training_data	C46	M20	trophoblast_cell	H3K4me1	ENCSR035DUS	C46M20.bigwig
training_data	C12	M21	DND-41	H3K4me2	ENCSR000AQZ	C12M21.bigwig
training_data	C17	M21	H1-hESC	H3K4me2	ENCSR322MEI	C17M21.bigwig
training_data	C23	M21	IMR-90	H3K4me2	ENCSR672XZZ	C23M21.bigwig
training_data	C24	M21	K562	H3K4me2	ENCSR000AKT	C24M21.bigwig
training_data	C27	M21	mesenchymal_stem_cell	H3K4me2	ENCSR786GJM	C27M21.bigwig
training_data	C31	M21	NCI-H929	H3K4me2	ENCSR692HIO	C31M21.bigwig
training_data	C32	M21	neural_stem_progenitor_cell	H3K4me2	ENCSR486GWT	C32M21.bigwig
training_data	C34	M21	OCI-LY7	H3K4me2	ENCSR850QKN	C34M21.bigwig
training_data	C03	M22	adrenal_gland_embryonic	H3K4me3	ENCSR715KGX	C03M22.bigwig
training_data	C04	M22	amnion	H3K4me3	ENCSR420IOA	C04M22.bigwig
training_data	C05	M22	BE2C	H3K4me3	ENCSR000DQB	C05M22.bigwig
training_data	C06	M22	brain_microvascular_endothelial_cell	H3K4me3	ENCSR000DTC	C06M22.bigwig
training_data	C07	M22	Caco-2	H3K4me3	ENCSR000DQM	C07M22.bigwig
training_data	C08	M22	cardiac_fibroblast	H3K4me3	ENCSR000DTH	C08M22.bigwig
training_data	C09	M22	CD4-positive_alpha-beta_memory_T_cell	H3K4me3	ENCSR223APP	C09M22.bigwig
training_data	C10	M22	chorion	H3K4me3	ENCSR787CAJ	C10M22.bigwig
training_data	C12	M22	DND-41	H3K4me3	ENCSR564VIX	C12M22.bigwig
training_data	C13	M22	endocrine_pancreas	H3K4me3	ENCSR957UQS	C13M22.bigwig
training_data	C16	M22	GM06990	H3K4me3	ENCSR000DQV	C16M22.bigwig
training_data	C17	M22	H1-hESC	H3K4me3	ENCSR814XPE	C17M22.bigwig
training_data	C18	M22	H9	H3K4me3	ENCSR043VGU	C18M22.bigwig
training_data	C22	M22	HL-60	H3K4me3	ENCSR000DUO	C22M22.bigwig
training_data	C23	M22	IMR-90	H3K4me3	ENCSR087PFU	C23M22.bigwig
training_data	C24	M22	K562	H3K4me3	ENCSR668LDD	C24M22.bigwig
training_data	C26	M22	lower_leg_skin	H3K4me3	ENCSR432GOP	C26M22.bigwig
training_data	C27	M22	mesenchymal_stem_cell	H3K4me3	ENCSR501JET	C27M22.bigwig
training_data	C29	M22	myoepithelial_cell_of_mammary_gland	H3K4me3	ENCSR287YDU	C29M22.bigwig
training_data	C31	M22	NCI-H929	H3K4me3	ENCSR082NQB	C31M22.bigwig
training_data	C32	M22	neural_stem_progenitor_cell	H3K4me3	ENCSR956CTX	C32M22.bigwig
training_data	C34	M22	OCI-LY7	H3K4me3	ENCSR005SXO	C34M22.bigwig
training_data	C36	M22	peripheral_blood_mononuclear_cell	H3K4me3	ENCSR368YPC	C36M22.bigwig
training_data	C37	M22	prostate	H3K4me3	ENCSR748RBT	C37M22.bigwig
training_data	C46	M22	trophoblast_cell	H3K4me3	ENCSR874WOB	C46M22.bigwig
training_data	C47	M22	upper_lobe_of_left_lung	H3K4me3	ENCSR208WDY	C47M22.bigwig
training_data	C48	M22	urinary_bladder	H3K4me3	ENCSR632OWD	C48M22.bigwig
training_data	C50	M22	vagina	H3K4me3	ENCSR258UUX	C50M22.bigwig
training_data	C51	M22	WERI-Rb-1	H3K4me3	ENCSR000DXU	C51M22.bigwig
training_data	C17	M23	H1-hESC	H3K56ac	ENCSR768FWX	C17M23.bigwig
training_data	C18	M23	H9	H3K56ac	ENCSR047TJL	C18M23.bigwig
training_data	C23	M23	IMR-90	H3K56ac	ENCSR066VKQ	C23M23.bigwig
training_data	C17	M24	H1-hESC	H3K79me1	ENCSR442DGE	C17M24.bigwig
training_data	C18	M24	H9	H3K79me1	ENCSR280IFJ	C18M24.bigwig
training_data	C23	M24	IMR-90	H3K79me1	ENCSR579TJT	C23M24.bigwig
training_data	C32	M24	neural_stem_progenitor_cell	H3K79me1	ENCSR570POG	C32M24.bigwig
training_data	C46	M24	trophoblast_cell	H3K79me1	ENCSR213JMO	C46M24.bigwig
training_data	C12	M25	DND-41	H3K79me2	ENCSR000ARB	C12M25.bigwig
training_data	C17	M25	H1-hESC	H3K79me2	ENCSR301HRV	C17M25.bigwig
training_data	C23	M25	IMR-90	H3K79me2	ENCSR713QLX	C23M25.bigwig
training_data	C25	M25	KMS-11	H3K79me2	ENCSR847UJW	C25M25.bigwig
training_data	C34	M25	OCI-LY7	H3K79me2	ENCSR347DAG	C34M25.bigwig
training_data	C46	M25	trophoblast_cell	H3K79me2	ENCSR486PWP	C46M25.bigwig
training_data	C12	M26	DND-41	H3K9ac	ENCSR000ARY	C12M26.bigwig
training_data	C13	M26	endocrine_pancreas	H3K9ac	ENCSR061NWO	C13M26.bigwig
training_data	C14	M26	ES-I3	H3K9ac	ENCSR097ORD	C14M26.bigwig
training_data	C17	M26	H1-hESC	H3K9ac	ENCSR952GVX	C17M26.bigwig
training_data	C18	M26	H9	H3K9ac	ENCSR879TAS	C18M26.bigwig
training_data	C24	M26	K562	H3K9ac	ENCSR000EVZ	C24M26.bigwig
training_data	C29	M26	myoepithelial_cell_of_mammary_gland	H3K9ac	ENCSR365DWX	C29M26.bigwig
training_data	C31	M26	NCI-H929	H3K9ac	ENCSR327OGS	C31M26.bigwig
training_data	C32	M26	neural_stem_progenitor_cell	H3K9ac	ENCSR626UPW	C32M26.bigwig
training_data	C36	M26	peripheral_blood_mononuclear_cell	H3K9ac	ENCSR969DAF	C36M26.bigwig
training_data	C46	M26	trophoblast_cell	H3K9ac	ENCSR815DXY	C46M26.bigwig
training_data	C23	M27	IMR-90	H3K9me1	ENCSR580LZO	C23M27.bigwig
training_data	C24	M27	K562	H3K9me1	ENCSR000AKW	C24M27.bigwig
training_data	C34	M28	OCI-LY7	H3K9me2	ENCSR199KHR	C34M28.bigwig
training_data	C02	M29	adrenal_gland	H3K9me3	ENCSR408ZEW	C02M29.bigwig
training_data	C03	M29	adrenal_gland_embryonic	H3K9me3	ENCSR651IVN	C03M29.bigwig
training_data	C04	M29	amnion	H3K9me3	ENCSR495GRN	C04M29.bigwig
training_data	C09	M29	CD4-positive_alpha-beta_memory_T_cell	H3K9me3	ENCSR333VFQ	C09M29.bigwig
training_data	C12	M29	DND-41	H3K9me3	ENCSR000ARZ	C12M29.bigwig
training_data	C13	M29	endocrine_pancreas	H3K9me3	ENCSR849NQE	C13M29.bigwig
training_data	C14	M29	ES-I3	H3K9me3	ENCSR895IWH	C14M29.bigwig
training_data	C18	M29	H9	H3K9me3	ENCSR972SMV	C18M29.bigwig
training_data	C20	M29	heart_left_ventricle	H3K9me3	ENCSR000XAA	C20M29.bigwig
training_data	C23	M29	IMR-90	H3K9me3	ENCSR055ZZY	C23M29.bigwig
training_data	C24	M29	K562	H3K9me3	ENCSR000APE	C24M29.bigwig
training_data	C27	M29	mesenchymal_stem_cell	H3K9me3	ENCSR746CUY	C27M29.bigwig
training_data	C32	M29	neural_stem_progenitor_cell	H3K9me3	ENCSR391WDE	C32M29.bigwig
training_data	C34	M29	OCI-LY7	H3K9me3	ENCSR389WWC	C34M29.bigwig
training_data	C36	M29	peripheral_blood_mononuclear_cell	H3K9me3	ENCSR980XMX	C36M29.bigwig
training_data	C45	M29	testis	H3K9me3	ENCSR376JOC	C45M29.bigwig
training_data	C46	M29	trophoblast_cell	H3K9me3	ENCSR044WCY	C46M29.bigwig
training_data	C18	M30	H9	H3T11ph	ENCSR957GYL	C18M30.bigwig
training_data	C46	M31	trophoblast_cell	H4K12ac	ENCSR960JPH	C46M31.bigwig
training_data	C23	M32	IMR-90	H4K20me1	ENCSR804SRO	C23M32.bigwig
training_data	C24	M32	K562	H4K20me1	ENCSR000AKX	C24M32.bigwig
training_data	C25	M32	KMS-11	H4K20me1	ENCSR790QWJ	C25M32.bigwig
training_data	C25	M22	KMS-11	H3K4me3	ENCSR539TKY	C25M22.bigwig
training_data	C17	M33	H1-hESC	H4K5ac	ENCSR675FLJ	C17M33.bigwig
training_data	C18	M33	H9	H4K5ac	ENCSR554TZE	C18M33.bigwig
training_data	C23	M33	IMR-90	H4K5ac	ENCSR706RRA	C23M33.bigwig
training_data	C17	M34	H1-hESC	H4K8ac	ENCSR891KGZ	C17M34.bigwig
training_data	C18	M34	H9	H4K8ac	ENCSR367JIO	C18M34.bigwig
training_data	C27	M34	mesenchymal_stem_cell	H4K8ac	ENCSR350YQC	C27M34.bigwig
training_data	C32	M34	neural_stem_progenitor_cell	H4K8ac	ENCSR277JAU	C32M34.bigwig
training_data	C46	M34	trophoblast_cell	H4K8ac	ENCSR888MKB	C46M34.bigwig
training_data	C17	M35	H1-hESC	H4K91ac	ENCSR858BOF	C17M35.bigwig
training_data	C23	M35	IMR-90	H4K91ac	ENCSR164RFI	C23M35.bigwig
training_data	C27	M35	mesenchymal_stem_cell	H4K91ac	ENCSR509MHV	C27M35.bigwig
training_data	C32	M35	neural_stem_progenitor_cell	H4K91ac	ENCSR260CXF	C32M35.bigwig
